jahr,stichtag,gemeinde_bfs_nr,gemeinde,altersklasse,heimat,geschlecht,anzahl,anzahl_ist_kleingruppe
2023,2023-12-31,230,Winterthur,90-94,Schweiz,männlich,290,False
2023,2023-12-31,230,Winterthur,90-94,Schweiz,weiblich,554,False
2023,2023-12-31,230,Winterthur,95+,Ausland,männlich,6,False
2023,2023-12-31,230,Winterthur,95+,Ausland,weiblich,12,False
2023,2023-12-31,230,Winterthur,95+,Schweiz,männlich,59,False
2023,2023-12-31,230,Winterthur,95+,Schweiz,weiblich,196,False
2022,2022-12-31,230,Winterthur,00-04,Ausland,männlich,785,False
2022,2022-12-31,230,Winterthur,00-04,Ausland,weiblich,800,False
2022,2022-12-31,230,Winterthur,00-04,Schweiz,männlich,2395,False
2022,2022-12-31,230,Winterthur,00-04,Schweiz,weiblich,2173,False
2022,2022-12-31,230,Winterthur,05-09,Ausland,männlich,938,False
2022,2022-12-31,230,Winterthur,05-09,Ausland,weiblich,880,False
2022,2022-12-31,230,Winterthur,05-09,Schweiz,männlich,2270,False
2022,2022-12-31,230,Winterthur,05-09,Schweiz,weiblich,2158,False
2022,2022-12-31,230,Winterthur,10-14,Ausland,männlich,769,False
2022,2022-12-31,230,Winterthur,10-14,Ausland,weiblich,744,False
2022,2022-12-31,230,Winterthur,10-14,Schweiz,männlich,2251,False
2022,2022-12-31,230,Winterthur,10-14,Schweiz,weiblich,2173,False
2022,2022-12-31,230,Winterthur,15-19,Ausland,männlich,685,False
2022,2022-12-31,230,Winterthur,15-19,Ausland,weiblich,535,False
2022,2022-12-31,230,Winterthur,15-19,Schweiz,männlich,2266,False
2022,2022-12-31,230,Winterthur,15-19,Schweiz,weiblich,2123,False
2022,2022-12-31,230,Winterthur,20-24,Ausland,männlich,904,False
2022,2022-12-31,230,Winterthur,20-24,Ausland,weiblich,752,False
2022,2022-12-31,230,Winterthur,20-24,Schweiz,männlich,2728,False
2022,2022-12-31,230,Winterthur,20-24,Schweiz,weiblich,2987,False
2022,2022-12-31,230,Winterthur,25-29,Ausland,männlich,1391,False
2022,2022-12-31,230,Winterthur,25-29,Ausland,weiblich,1313,False
2022,2022-12-31,230,Winterthur,25-29,Schweiz,männlich,3630,False
2022,2022-12-31,230,Winterthur,25-29,Schweiz,weiblich,3893,False
2022,2022-12-31,230,Winterthur,30-34,Ausland,männlich,1795,False
2022,2022-12-31,230,Winterthur,30-34,Ausland,weiblich,1707,False
2022,2022-12-31,230,Winterthur,30-34,Schweiz,männlich,3774,False
2022,2022-12-31,230,Winterthur,30-34,Schweiz,weiblich,3573,False
